Company Name,GST,Turn Over,Region ,City,Type ,Contact Person,Designation,Contact Number,Website URL,Remarks ,Followup,
VAF Def-Aero Systems Private Limited,33AACCV7072Q1ZR, Rs. 25 Cr. to 100 Cr. ,Arasur,Coimbatore,Aluminium Supplier,,,080 4801 3821,https://www.vjp.in/,,,
Veesaa Foundry,33AAGFV7853A1Z9,Rs. 25 Cr. to 100 Cr. ,Arasur,Coimbatore,Foundry,,,096552 05512,http://www.veesaafoundry.com/,,,
SRI VISHNU FOUNDRY MACHINE SHOP,,,Arasur,Coimbatore,Machine shop,,,098946 38170,,,,
"Rukmani Engineering works ,Coimbatore",,,Arasur,Coimbatore,Foundry,,,098943 76505,http://www.rukmanisteelcastings.com/,,,
AGM Die Casting,33AHDPM3135G1ZR, Rs. 40 lakhs to 1.5 Cr,Arasur,Coimbatore,Tool & die shop,,,098430 61673,,,,
Gargi Huttenes Albertus Private Limited,33AAACG3997K1ZA, Rs. 500 Cr. and above,Arasur,Coimbatore,Chemical industry,,,022 2520 1596,http://www.gargi-india.com/,,,
Audhe Industries / CNC Machined Components / Aluminium Casting / GDC / Automative Die Casting,,,Arasur,Coimbatore,Manufacturer,,,087781 82992,https://www.audhe.com/,,,
Alpha Craft Pvt Ltd,,,Arasur,Coimbatore,Foundry,,,0422 221 8720,http://www.alphacraft.in/,,,
Allied Castings,,,Arasur,Coimbatore,Metal fabricator,,,0422 251 2374,,,,
Thaaraamani Foundry,33ADCPT0139Q1ZA,Rs. 40 lakhs to 1.5 Cr. ,Arasur,Coimbatore,Foundry,,,080 4896 7278,https://www.castgrills.com/,,,
Sri pathy industries(Die casting),33AIOPR7840K1ZN,Rs. 40 lakhs to 1.5 Cr. ,Arasur,Coimbatore,Aluminium Supplier,,,,,,,
Anugraha Valve Castings Limited,33AACCA2285Q1ZF,Rs. 100 Cr. to 500 Cr,Arasur,Coimbatore,Manufacturer,,,0422 236 0124,http://anugrahavalvecastings.com/,,,
XAMZKO CERAMI PVT LTD,,,Arasur,Coimbatore,Foundry,,,099436 77776,,,,
Flow Link Systems Private Ltd,33AAACF3239K1ZS,Rs. 100 Cr. to 500 Cr,Arasur,Coimbatore,Manufacturer,,,0422 236 0011,http://www.flowlinksystems.com/,,,
PREMIER ENGINEERING FOUNDRY,,,Arasur,Coimbatore,Foundry,,,094421 94779,,,,
Hindustan Foundry Fluxes,33AAFFH8390H1Z8, Rs. 0 to 40 lakhs,Arasur,Coimbatore,Manufacturer,,,090434 28324,,,,
Shri A.N Foundry,33ABGFS0501B1Z1, Rs. 5 Cr. to 25 Cr.,Arasur,Coimbatore,Foundry,,,04254 275 418,http://www.shrianfoundry.co.in/,,,
Associated Refractories And Minerals,33AAFFA4136J1ZQ,Rs. 5 Cr. to 25 Cr,Arasur,Coimbatore,Foundry,,,0422 252 1189,,,,
Sri Sumathi Engg Foundry,33ACKPD4965H1ZL, Rs. 0 to 40 lakhs ,Arasur,Coimbatore,Foundry,,,0422 256 1384,,,,
SHRI VISAKHA INDUSTRIES,33AAAFV9469L1ZK, Rs. 25 Cr. to 100 Cr.,Arasur,Coimbatore,Manufacturer,,,0422 495 1737,https://visakhaindustries.com/,,,
Auto Shell Perfect Moulder Limited,33AABCA8391A1Z2,Rs. 25 Cr. to 100 Cr.,Arasur,Coimbatore,Machining manufacturer,,,0422 429 5444,https://autoshell.com/,,,
Aluminium Foundry,,,Arasur,Coimbatore,Aluminium Supplier,,,097514 52530,,,,
Non-Ferrous Castings mfrs Coimbatore Sri Perumal Metals,,,Arasur,Coimbatore,Metal supplier,,,093440 41444,,,,
Vasanthi Foundry U1,33AAEFV0277E1ZF, Rs. 100 Cr. to 500 Cr.,Arasur,Coimbatore,Foundry,,,,,,,
SE Forge Limited,33AAKCS1047G2ZJ,Rs. 25 Cr. to 100 Cr.,Arasur,Coimbatore,Foundry,,,0421 235 3400,http://www.seforge.com/,,,
P. C. SONS CASTING PVT LTD,33AACCP7564R1ZQ,Rs. 25 Cr. to 100 Cr.,Arasur,Coimbatore,Corporate office,,,,https://pcsonscastings.com/,,,
Shendhur Alloys Foundry,33AAUFS8415K1ZL, Rs. 25 Cr. to 100 Cr.,Arasur,Coimbatore,Machining manufacturer,,,,https://shendhuralloys.com/,,,
Rukmani Non- Ferrous Industries,,,Arasur,Coimbatore,Manufacturer,,,080 4764 4717,http://rukmaninonferrouscasting.com/,,,
Casting India,,,Arasur,Coimbatore,Corporate office,,,097506 60601,https://www.castingindia.com/,,,
Rajeswari Machine Tools,33AAIFR7831G1Z5, Rs. 1.5 Cr. to 5 Cr. ,Arasur,Coimbatore,Foundry,,,093623 19394,,,,
Sri Ram Foundry,33ANIPL4716H1Z3,Rs. 40 lakhs to 1.5 Cr,Arasur,Coimbatore,Manufacturer,,,099424 92363,,,,
Suresh Engineering works,33AIJPS3347P1ZN,Rs. 1.5 Cr. to 5 Cr.,Arasur,Coimbatore,Foundry,,,098430 99556,,,,
Ellen Ferrous Castings Pvt Ltd,33AAACE7560Q1Z9, Rs. 40 lakhs to 1.5 Cr. ,Arasur,Coimbatore,Foundry,,,,,,,
NATIONAL CASTINGS,33FQLPS5308K1ZD,Rs. 0 to 40 lakhs ,Arasur,Coimbatore,Foundry,,,094431 58917,,,,
Sri Krishna Metal Industries,33ALKPK1090M1ZY, Rs. 0 to 40 lakhs ,Arasur,Coimbatore,Foundry,,,097915 00173,,,,
Arcturus Castings,33ABMFA6250D1ZR, Rs. 0 to 40 lakhs,Arasur,Coimbatore,Foundry,,,,,,,
Classic Foundry Machineries and Automation,,,Mettupalayam,Coimbatore,Machinery parts manufacturer,,,http://www.classicfoundrymachineries.in/,,,,
JS Auto Cast Foundry India Pvt Ltd,33AABCJ4470D1ZZ, Rs. 500 Cr. and above,Mettupalayam,Coimbatore,Foundry,,,https://www.jsautocast.com/,097888 51444,,,
Justin Industries,33ANOPJ6836A1Z4, Rs. 5 Cr. to 25 Cr.,Mettupalayam,Coimbatore,Manufacturer,,,http://www.justinindustries.in/,090037 56862,,,
Santhi Casting,33ADPFS8454C1ZU, Rs. 25 Cr. to 100 Cr.,Mettupalayam,Coimbatore,Foundry,,,https://www.santhicasting.com/,093440 90010,,,
castwell foundries,33FETPS7732M1ZI,Rs. 5 Cr. to 25 Cr. ,Mettupalayam,Coimbatore,Foundry,,,,095009 09013,,,
Alutech Foundry India (P) Ltd - Foundry Division,33AAFCA6605H1ZZ,Rs. 25 Cr. to 100 Cr. ,Mettupalayam,Coimbatore,Foundry,,,http://alutech.in/,0422 262 9688,,,
Veesaa Foundry,33AAGFV7853A1Z9,Rs. 25 Cr. to 100 Cr. ,Mettupalayam,Coimbatore,Foundry,,,http://www.veesaafoundry.com/,096552 05512,,,
Vasantham Foundry,33AACFV3360L1Z4, Rs. 40 lakhs to 1.5 Cr. ,Mettupalayam,Coimbatore,Foundry,,,http://www.vasanthamfoundry.com/,099429 03444,,,
VR Foundries - Grey Iron And SG Iron Castings Manufacturer & Supplier,,,Mettupalayam,Coimbatore,Foundry,,,http://www.vrfoundries.com/,094864 39162,,,
VEE J PEE Aluminium Foundry PVT LTD - Office,,,Mettupalayam,Coimbatore,Foundry,,,https://www.vjp.in/,,,,
Sri Gnanamurugan Foundry,33AAFPE8679Q1ZZ, Rs. 5 Cr. to 25 Cr,Mettupalayam,Coimbatore,Foundry,,,https://www.sgmfoundry.com/,098422 66608,,,
Shri A.N Foundry,,,Mettupalayam,Coimbatore,Foundry,,,http://www.shrianfoundry.co.in/,04254 275 418,,,
Sarvalakshmi Foundries P Ltd,33AACCS7166E1ZG,Rs. 1.5 Cr. to 5 Cr. ,Mettupalayam,Coimbatore,Foundry,,,http://www.sarvalakshmifoundries.com/,0422 264 2334,,,
Sandfits Foundries Private Limited,33AAECS2332N1ZD., Rs. 100 Cr. to 500 Cr.,Mettupalayam,Coimbatore,Foundry,,,http://www.sandfitsfoundries.com/,0422 268 7293,,,
Bright Castings,,,Mettupalayam,Coimbatore,Foundry,,,http://www.brightcastings.in/,099444 13654,,,
Bakgiyam Engineering - Iron Casting Foundry,,,Mettupalayam,Coimbatore,Foundry,,,https://www.bakgiyam.com/,0422 297 1901,,,
"Rukmani Engineering works ,Coimbatore",,,Mettupalayam,Coimbatore,Foundry,,,http://www.rukmanisteelcastings.com/,098943 76505,,,
Vaarpu - Cast Iron Casting Supplier in India | USA,,,Mettupalayam,Coimbatore,Manufacturer,,,http://www.vaarpu.com/,098652 44430,,,
ARJUN FOUNDRY,,,Mettupalayam,Coimbatore,Foundry,,,,094433 45263,,,
Advent Foundry & Allied Supplies Private Limited,,,Mettupalayam,Coimbatore,Foundry,,,,084899 13467,,,
V.G.K. Foundry,,,Mettupalayam,Coimbatore,Manufacturer,,,,,,,
Magna Electro Castings Limited - Corporate Office,,,Mettupalayam,Coimbatore,Manufacturer,,,http://www.magnacast.com/,0422 224 0109,,,
Premier Foundries,,,Mettupalayam,Coimbatore,Manufacturer,,,,,,,
S.V. Techno Castings,33ABIFS3809C2ZF,Rs. 40 lakhs to 1.5 Cr. ,Mettupalayam,Coimbatore,Manufacturer,,,,0422 427 4247,,,
Bright Foundries Coimbatore Pvt Ltd,,,Mettupalayam,Coimbatore,Foundry,,,https://www.brightcastings.in/,,,,
Shanthi Gears,33AADCS0692L1Z7,Rs. 500 Cr. and above,Mettupalayam,Coimbatore,Foundry,,,http://www.shanthigears.com/foundry/,0422 454 5745,,,
Annai Velanganni Metal Industries,,,Mettupalayam,Coimbatore,Foundry,,,https://www.indiamart.com/annaivelangannimetalindustries/,098946 12570,,,
Mar Minerals,33ABPPY4232N1Z0,Rs. 5 Cr. to 25 Cr.,Mettupalayam,Coimbatore,Supplier,,,,,,,
