Company Name,Type,Contact Number,Website,
"Car support accessories | Car Accessories Shop in Sulur, Coimbatore",Auto Accessories Store,099944 06020,https://carsupportaccessories.com/,Sulur 
SNF Components P Ltd,Manufacturer,,http://www.snf-ind.com/,Sulur 
APM AUTO PARTS PRIVATE LIMITED,Manufacturer,0422 264 7432,http://www.apmautoparts.com/,Sulur 
SAKTHI AUTOCAST PRIVATE LIMITED,Manufacturer,,,Sulur 
Sakthi Auto Ancillary Pvt Ltd,Industrial equipment supplier,0422 264 2613,http://www.saapl.net/,Sulur 
RABWIN JAINIDHI PVT LTD,Auto machine shop,098431 20540,http://www.jainidhiautomation.com/,Sulur 
Roots Industries India Private Limited,Manufacturer,0422 423 5000,http://www.rootsindia.com/,Sulur 
Sakthi Gear Products Private Limited (Branch),Manufacturer,095007 03311,https://sakthigear.com/,Sulur 
G.V.Engineering Works,Machinery parts manufacturer,072004 47800,,Sulur 
RAMU AUTO SPARES,Auto Accessories Store,088838 80797,,Sulur 
SREE MURUGAN AUTO SPARES,Auto parts store,093612 53447,,Sulur 
Madhavaa Crafts limited- unit-1,Auto parts manufacturer,088848 89289,http://shivalayapc.com/,Sulur 
Southern Auto Products Engineers,Auto parts manufacturer,0422 267 3331,,Sulur 
Rossi Gearmotors (India) Private Limited,Manufacturer,0185 552 0365,http://www.rossi.com/,Sulur 
RSM Autokast Pvt. Ltd.,Manufacturer,0422 658 5908,http://www.rsmautokast.com/,Sulur 
Suntech Automobile Products,Manufacturer,098428 38079,https://suntechautoproduct.com/,Sulur 
Sulur Car Decors SPA,Auto Accessories Store,098424 68999,https://sulurcardecorsspa.com/,Sulur 
AR4 Tech Private Limited,Manufacturer,099946 29111,http://www.ar4-tech.com/,Sulur 
Hirotec India private limited,Manufacturer,0422 666 6777,https://www.hirotecindia.com/,Sulur 
Axto Accessories - OLA EV Accessories Store in Coimbatore,Manufacturer,099941 17793,http://www.axto.in/,Sulur 
Rexon Automotive Industries,Industrial consultant,,,Sulur 
Sandfits Foundries Private Limited,Foundry,0422 268 7293,http://www.sandfitsfoundries.com/,Sulur 
Hi Acme Automations India Pvt Ltd,Automation company,080150 15090,https://www.hiacme.com/,Sulur 
AUTOLINES - UNIT II,Manufacturer,093840 46772,https://www.autolines.in/,Sulur 
Mirror Precision Works,Manufacturer,098946 98622,https://mpwcbe.com/,Sulur 
Generic Automech Engineers Private Limited,Manufacturer,098940 51100,https://genericautomech.in/,Sulur 
Sri Automotive Parts Pvt Ltd,Auto parts store,081244 44443,http://www.sriautomotivepartsprivatelimited.com/,Sulur 
MICRO TECH Tempo Traveller Spares,Manufacturer,097905 54759,,Sulur 
RABWIN INDUSTRIES PRIVATE LIMITED,Machining manufacturer,093645 74044,https://rabwin.com/,Sulur 
Sakthi Auto Component Limited-Factory,Auto parts manufacturer,090954 66205,http://www.sakthiauto.com/,Sulur 
Jayem Automotives Private Limited,Manufacturer,0422 227 1843,http://www.jayemauto.com/,Irugur
Shree auto industries,Manufacturer,,,Irugur
Sakthi Gear Products Private Limited,Auto parts manufacturer,0422 236 4100,https://sakthigear.com/,Irugur
RABWIN JAINIDHI PVT LTD,Auto machine shop,098431 20540,http://www.jainidhiautomation.com/,Irugur
MN Auto Products Private Limited,Manufacturer,,https://www.supermnauto.com/,Irugur
APM AUTO PARTS PRIVATE LIMITED,Manufacturer,0422 264 7432,http://www.apmautoparts.com/,Irugur
Sakthi Auto Ancillary Pvt Ltd,Industrial equipment supplier,0422 264 2613,http://www.saapl.net/,Irugur
Roots Industries India Private Limited,Manufacturer,0422 423 5000,http://www.rootsindia.com/,Irugur
Maxwell AutoComponents Pvt Ltd.,Foundry,094899 00832,https://maxwellcasting.com/,Annur
